dataset,combo_name,ext_features,trials,pruning_mode,objective,label_rate_ext,label_rate_no_ext,label_rate_gap,label_rate_ratio,chi2_label,chi2_label_p,mean_ks,max_ks,mean_cohens_d,pct_features_shifted,total_shift
MovieAugV2,days_active+rating_frequency ext,"days_active,rating_frequency",10,optuna,-0.003511,0.018669,0.019641,0.000972,0.950516,1.0241,0.311560143203194,0.017369,0.02749,0.012565,0.0,0.018341
MovieAugV2,days_active+tags ext,"days_active,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",10,optuna,0.001303,0.024692,0.012669,0.012023,1.948954,218.0628,2.3930332378324748e-49,0.022121,0.034658,0.036059,50.0,0.034144
MovieAugV2,days_active ext,days_active,10,optuna,0.000991,0.018174,0.01965,0.001476,0.924887,3.2222,0.07264595781033119,0.011952,0.02371,0.012144,0.0,0.013429
MovieAugV2,rating_frequency+tags ext,"rating_frequency,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",10,optuna,-0.000784,0.025509,0.011794,0.013715,2.162888,283.892,1.0653084219758069e-63,0.023207,0.037474,0.04976,75.0,0.036922
MovieAugV2,rating_frequency ext,rating_frequency,10,optuna,0.004781,0.019206,0.018619,0.000587,1.031519,0.4907,0.4836108794595695,0.015824,0.042727,0.018702,11.1,0.016411
MovieAugV2,rating_mean+rating_std ext,"rating_mean,rating_std",30,optuna,-0.000147,0.018747,0.019408,0.000661,0.965956,0.4608,0.4972642532767546,0.016497,0.032447,0.02536,0.0,0.017158
MovieAugV2,rating_mean+rating_std ext,"rating_mean,rating_std",30,no_pruning,0.000933,0.018747,0.019408,0.000661,0.965956,0.4608,0.4972642532767546,0.016497,0.032447,0.02536,0.0,0.017158
MovieAugV2,rating_mean+rating_std ext,"rating_mean,rating_std",30,fixed_50,0.005244,0.018747,0.019408,0.000661,0.965956,0.4608,0.4972642532767546,0.016497,0.032447,0.02536,0.0,0.017158
WIDS,h1_bilirub+h1_lactate+h1_pao2fio+h1_arteria+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",10,optuna,0.000373,0.119107,0.070724,0.048383,1.684103,593.7453,3.8393064654355653e-131,0.091465,0.330856,0.167407,91.0,0.139847
WIDS,h1_bilirub+h1_lactate+h1_pao2fio+h1_arteria,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min",10,optuna,-0.00454,0.133274,0.07007,0.063203,1.901999,885.9544,1.1096876951794045e-194,0.096939,0.407779,0.171271,94.6,0.160143
